Model,meteor,rouge
8-150-8,0.12384576425845872,0.30104375276256379
8-150-2,0.15100867666311474,0.3503672264694605
9-226-8,0.12124242044675428,0.28893858936418482
8-150-16,0.11756369015839761,0.28482476823357272
7-150-8,0.09007536459623967,0.23041475624614707
8-150-32,0.11593932430483175,0.28336208425513559
6-150-8,0.09797281621902673,0.19517272374451339
8-150-4,0.13504318438354143,0.32142505575015617
8-150-147,0.1238180324118661,0.30674264973966336
5-150-8,0.1189552398072147,0.28723748316273107
